cmpdname,mw,polararea,heavycnt,hbonddonor,hbondacc,rotbonds,isosmiles,exactmass,monoisotopicmass,xlogp
"TG(18:1(11Z)/16:0/20:3(5Z,8Z,11Z))",883.4,78.9,63,0,6,52,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,882.768,882.768,22
1-Vaccenoyl-2-palmitoyl-3-erucoyl-glycerol,915.5,78.9,65,0,6,56,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,914.83,914.83,24.4
1-Vaccenoyl-2-palmitoyl-3-nervonoyl-glycerol,943.6,78.9,67,0,6,58,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,942.862,942.862,25.5
"TG(18:1(11Z)/16:0/18:3(6Z,9Z,12Z))",855.4,78.9,61,0,6,50,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,854.736,854.736,20.9
1-Vaccenoyl-2-palmitoyl-3-eicosadienoyl-glycerol,885.4,78.9,63,0,6,53,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,884.783,884.783,22.6
1-Vaccenoyl-2-palmitoyl-3-homo-g-linolenoyl-glycerol,883.4,78.9,63,0,6,52,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,882.768,882.768,22
1-Vaccenoyl-2-palmitoyl-3-docosadienoyl-glycerol,913.5,78.9,65,0,6,55,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,912.815,912.815,23.7
1-Vaccenoyl-2-palmitoyl-3-adrenoyl-glycerol,909.5,78.9,65,0,6,53,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,908.783,908.783,22.4
1-Vaccenoyl-2-palmitoyl-3-osbondoyl-glycerol,907.4,78.9,65,0,6,52,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,906.768,906.768,21.8
"TG(18:1(11Z)/16:0/18:4(6Z,9Z,12Z,15Z))",853.3,78.9,61,0,6,49,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,852.721,852.721,20.2
"TG(18:1(11Z)/16:0/20:4(8Z,11Z,14Z,17Z))",881.4,78.9,63,0,6,51,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,880.752,880.752,21.3
1-Vaccenoyl-2-palmitoyl-3-eicosapentaenoyl-glycerol,879.4,78.9,63,0,6,50,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,878.736,878.736,20.6
1-Vaccenoyl-2-palmitoyl-3-docosapentaenoyl-glycerol,907.4,78.9,65,0,6,52,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,906.768,906.768,21.7
1-Vaccenoyl-2-palmitoyl-3-docosahexaenoyl-glycerol,905.4,78.9,65,0,6,51,CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,904.752,904.752,21.2
1-Vaccenoyl-2-palmitoyl-3-Stearyl-glycerol,847.4,61.8,60,0,5,53,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCCC,846.804,846.804,23.6
1-Vaccenoyl-2-stearoyl-3-eicosenoyl-glycerol,915.5,78.9,65,0,6,56,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,914.83,914.83,24.4
1-Vaccenoyl-2-stearoyl-3-meadoyl-glycerol,911.5,78.9,65,0,6,54,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,910.799,910.799,23
1-Vaccenoyl-2-stearoyl-3-erucoyl-glycerol,943.6,78.9,67,0,6,58,CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,942.862,942.862,25.5
1-Vaccenoyl-2-stearoyl-3-nervonoyl-glycerol,971.6,78.9,69,0,6,60,CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,970.893,970.893,26.6
"TG(18:1(11Z)/18:0/18:3(6Z,9Z,12Z))",883.4,78.9,63,0,6,52,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,882.768,882.768,22
1-Vaccenoyl-2-stearoyl-3-eicosadienoyl-glycerol,913.5,78.9,65,0,6,55,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,912.815,912.815,23.7
1-Vaccenoyl-2-stearoyl-3-homo-g-linolenoyl-glycerol,911.5,78.9,65,0,6,54,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,910.799,910.799,23
1-Vaccenoyl-2-stearoyl-3-arachidonoyl-glycerol,909.5,78.9,65,0,6,53,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,908.783,908.783,22.4
1-Vaccenoyl-2-stearoyl-3-docosadienoyl-glycerol,941.5,78.9,67,0,6,57,CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,940.846,940.846,24.8
1-Vaccenoyl-2-stearoyl-3-adrenoyl-glycerol,937.5,78.9,67,0,6,55,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,936.815,936.815,23.4
1-Vaccenoyl-2-stearoyl-3-osbondoyl-glycerol,935.5,78.9,67,0,6,54,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,934.799,934.799,22.9
"TG(18:1(11Z)/18:0/18:3(9Z,12Z,15Z))",883.4,78.9,63,0,6,52,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,882.768,882.768,22
"TG(18:1(11Z)/18:0/18:4(6Z,9Z,12Z,15Z))",881.4,78.9,63,0,6,51,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,880.752,880.752,21.3
1-Vaccenoyl-2-stearoyl-3-eicsoatetraenoyl-glycerol,909.5,78.9,65,0,6,53,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,908.783,908.783,22.4
1-Vaccenoyl-2-stearoyl-3-eicosapentaenoyl-glycerol,907.4,78.9,65,0,6,52,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,906.768,906.768,21.7
1-Vaccenoyl-2-stearoyl-3-docosapentaenoyl-glycerol,935.5,78.9,67,0,6,54,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,934.799,934.799,22.7
1-Vaccenoyl-2-stearoyl-3-docosahexaenoyl-glycerol,933.5,78.9,67,0,6,53,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,932.783,932.783,22.2
1-Vaccenoyl-2-stearoyl-3-Stearyl-glycerol,875.5,61.8,62,0,5,55,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,874.835,874.835,24.6
1-Vaccenoyl-2-arachidonyl-3-vaccenoyl-glycerol,915.5,78.9,65,0,6,56,CCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,914.83,914.83,24.4
1-Vaccenoyl-2-arachidonyl-3-oleoyl-glycerol,915.5,78.9,65,0,6,56,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,914.83,914.83,24.4
1-Vaccenoyl-2-arachidonyl-3-eicosenoyl-glycerol,943.6,78.9,67,0,6,58,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,942.862,942.862,25.5
1-Vaccenoyl-2-arachidonyl-3-meadoyl-glycerol,939.5,78.9,67,0,6,56,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,938.83,938.83,24.1
1-Vaccenoyl-2-arachidonyl-3-erucoyl-glycerol,971.6,78.9,69,0,6,60,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,970.893,970.893,26.6
1-Vaccenoyl-2-arachidonyl-3-nervonoyl-glycerol,999.7,78.9,71,0,6,62,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,998.924,998.924,27.7
1-Vaccenoyl-2-arachidonyl-3-linoleoyl-glycerol,913.5,78.9,65,0,6,55,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,912.815,912.815,23.7
1-Vaccenoyl-2-arachidonyl-3-g-linolenoyl-glycerol,911.5,78.9,65,0,6,54,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,910.799,910.799,23
1-Vaccenoyl-2-arachidonyl-3-eicosadienoyl-glycerol,941.5,78.9,67,0,6,57,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,940.846,940.846,24.8
1-Vaccenoyl-2-arachidonyl-3-homo-g-linolenoyl-glycerol,939.5,78.9,67,0,6,56,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,938.83,938.83,24.1
1-Vaccenoyl-2-arachidonyl-3-arachidonoyl-glycerol,937.5,78.9,67,0,6,55,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,936.815,936.815,23.4
1-Vaccenoyl-2-arachidonyl-3-docosadienoyl-glycerol,969.6,78.9,69,0,6,59,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,968.877,968.877,25.9
1-Vaccenoyl-2-arachidonyl-3-adrenoyl-glycerol,965.6,78.9,69,0,6,57,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,964.846,964.846,24.5
1-Vaccenoyl-2-arachidonyl-3-osbondoyl-glycerol,963.5,78.9,69,0,6,56,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,962.83,962.83,24
1-Vaccenoyl-2-arachidonyl-3-a-linolenoyl-glycerol,911.5,78.9,65,0,6,54,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,910.799,910.799,23
1-Vaccenoyl-2-arachidonyl-3-stearidonoyl-glycerol,909.5,78.9,65,0,6,53,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,908.783,908.783,22.4
1-Vaccenoyl-2-arachidonyl-3-eicsoatetraenoyl-glycerol,937.5,78.9,67,0,6,55,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,936.815,936.815,23.4
1-Vaccenoyl-2-arachidonyl-3-eicosapentaenoyl-glycerol,935.5,78.9,67,0,6,54,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,934.799,934.799,22.7
1-Vaccenoyl-2-arachidonyl-3-docosapentaenoyl-glycerol,963.5,78.9,69,0,6,56,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,962.83,962.83,23.8
"TG(18:1(11Z)/20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",961.5,78.9,69,0,6,55,CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,960.815,960.815,23.3
1-Vaccenoyl-2-arachidonyl-3-Stearyl-glycerol,903.5,61.8,64,0,5,57,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,902.867,902.867,25.7
1-Vaccenoyl-2-behenoyl-3-vaccenoyl-glycerol,943.6,78.9,67,0,6,58,CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,942.862,942.862,25.5
1-Vaccenoyl-2-behenoyl-3-oleoyl-glycerol,943.6,78.9,67,0,6,58,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,942.862,942.862,25.5
1-Vaccenoyl-2-behenoyl-3-eicosenoyl-glycerol,971.6,78.9,69,0,6,60,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,970.893,970.893,26.6
1-Vaccenoyl-2-behenoyl-3-meadoyl-glycerol,967.6,78.9,69,0,6,58,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,966.862,966.862,25.2
1-Vaccenoyl-2-behenoyl-3-erucoyl-glycerol,999.7,78.9,71,0,6,62,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,998.924,998.924,27.7
1-Vaccenoyl-2-behenoyl-3-nervonoyl-glycerol,1027.7,78.9,73,0,6,64,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,1026.96,1026.96,28.7
1-Vaccenoyl-2-behenoyl-3-linoleoyl-glycerol,941.5,78.9,67,0,6,57,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,940.846,940.846,24.8
1-Vaccenoyl-2-behenoyl-3-g-linolenoyl-glycerol,939.5,78.9,67,0,6,56,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,938.83,938.83,24.1
1-Vaccenoyl-2-behenoyl-3-eicosadienoyl-glycerol,969.6,78.9,69,0,6,59,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,968.877,968.877,25.9
1-Vaccenoyl-2-behenoyl-3-homo-g-linolenoyl-glycerol,967.6,78.9,69,0,6,58,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,966.862,966.862,25.2
1-Vaccenoyl-2-behenoyl-3-arachidonoyl-glycerol,965.6,78.9,69,0,6,57,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,964.846,964.846,24.5
1-Vaccenoyl-2-behenoyl-3-docosadienoyl-glycerol,997.6,78.9,71,0,6,61,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,996.908,996.908,27
1-Vaccenoyl-2-behenoyl-3-adrenoyl-glycerol,993.6,78.9,71,0,6,59,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,992.877,992.877,25.6
1-Vaccenoyl-2-behenoyl-3-a-linolenoyl-glycerol,939.5,78.9,67,0,6,56,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,938.83,938.83,24.1
1-Vaccenoyl-2-behenoyl-3-stearidonoyl-glycerol,937.5,78.9,67,0,6,55,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,936.815,936.815,23.4
1-Vaccenoyl-2-behenoyl-3-eicsoatetraenoyl-glycerol,965.6,78.9,69,0,6,57,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,964.846,964.846,24.5
1-Vaccenoyl-2-behenoyl-3-eicosapentaenoyl-glycerol,963.5,78.9,69,0,6,56,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,962.83,962.83,23.8
1-Vaccenoyl-2-behenoyl-3-docosapentaenoyl-glycerol,991.6,78.9,71,0,6,58,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,990.862,990.862,24.9
1-Vaccenoyl-2-behenoyl-3-docosahexaenoyl-glycerol,989.6,78.9,71,0,6,57,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,988.846,988.846,24.4
1-Vaccenoyl-2-behenoyl-3-Stearyl-glycerol,931.6,61.8,66,0,5,59,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,930.898,930.898,26.8
1-Vaccenoyl-2-lignoceroyl-3-vaccenoyl-glycerol,971.6,78.9,69,0,6,60,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,970.893,970.893,26.6
1-Vaccenoyl-2-lignoceroyl-3-oleoyl-glycerol,971.6,78.9,69,0,6,60,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,970.893,970.893,26.6
1-Vaccenoyl-2-lignoceroyl-3-eicosenoyl-glycerol,999.7,78.9,71,0,6,62,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,998.924,998.924,27.7
1-Vaccenoyl-2-lignoceroyl-3-meadoyl-glycerol,995.6,78.9,71,0,6,60,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,994.893,994.893,26.3
1-Vaccenoyl-2-lignoceroyl-3-erucoyl-glycerol,1027.7,78.9,73,0,6,64,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,1026.96,1026.96,28.7
1-Vaccenoyl-2-lignoceroyl-3-nervonoyl-glycerol,1055.8,78.9,75,0,6,66,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,1054.99,1054.99,29.8
1-Vaccenoyl-2-lignoceroyl-3-linoleoyl-glycerol,969.6,78.9,69,0,6,59,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,968.877,968.877,25.9
1-Vaccenoyl-2-lignoceroyl-3-g-linolenoyl-glycerol,967.6,78.9,69,0,6,58,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,966.862,966.862,25.2
1-Vaccenoyl-2-lignoceroyl-3-eicosadienoyl-glycerol,997.6,78.9,71,0,6,61,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,996.908,996.908,27
1-Vaccenoyl-2-lignoceroyl-3-homo-g-linolenoyl-glycerol,995.6,78.9,71,0,6,60,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,994.893,994.893,26.3
1-Vaccenoyl-2-lignoceroyl-3-arachidonoyl-glycerol,993.6,78.9,71,0,6,59,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,992.877,992.877,25.6
1-Vaccenoyl-2-lignoceroyl-3-docosadienoyl-glycerol,1025.7,78.9,73,0,6,63,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCC,1024.94,1024.94,28.1
1-Vaccenoyl-2-lignoceroyl-3-adrenoyl-glycerol,1021.7,78.9,73,0,6,61,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1020.91,1020.91,26.7
1-Vaccenoyl-2-lignoceroyl-3-osbondoyl-glycerol,1019.6,78.9,73,0,6,60,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1018.89,1018.89,26.2
1-Vaccenoyl-2-lignoceroyl-3-a-linolenoyl-glycerol,967.6,78.9,69,0,6,58,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,966.862,966.862,25.2
